,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
108,0.25,500.0,0.17875166002656043,0.20269460064669947,0.30203678517305854,0.3989727351929606,0.12452478787751264
109,0.25,1000.0,0.17622841965471447,0.24600674180729917,0.46807216286969816,0.5834795202816244,0.10869612182296184
110,0.25,500.0,0.17689243027888446,0.20710399384292102,0.19572718948551143,0.30401189522102445,0.12992186043664145
111,0.25,1000.0,0.1661354581673307,0.20116319414599285,0.19597738212813404,0.29194432008146937,0.12030050181726137
112,0.25,500.0,0.17217795484727755,0.20040501312970854,0.2170209824802316,0.3138137636222158,0.12201843966358883
113,0.25,1000.0,0.16792828685258965,0.2095579471891427,0.24588281730624784,0.34702350091928497,0.12175301512705228
114,0.25,500.0,0.17675962815405047,0.1902055658073019,0.1409584206103901,0.23506586754219705,0.12156824899902641
115,0.25,1000.0,0.17324037184594954,0.17611971111973349,0.13120833335713405,0.21370363054792996,0.12268898163814645
116,0.25,500.0,0.17928286852589642,0.243964144338553,0.2441343248882844,0.38162076186592125,0.13256342833018975
117,0.25,1000.0,0.17463479415670652,0.2512837795699774,0.32594674780981475,0.4598585515855924,0.12445646593287507
118,0.25,500.0,0.17682602921646745,0.19987308085492939,0.15852502868932755,0.2646064807678722,0.133750517103444
119,0.25,1000.0,0.16533864541832669,0.1715264344042835,0.11443685806023018,0.19049899545095905,0.12002416502650204
120,0.30000000000000004,500.0,0.17602921646746347,0.1461601171510728,0.08039237974901908,0.14343939105936054,0.12561976438718037
121,0.30000000000000004,1000.0,0.16859229747675963,0.16151927544397177,0.10609596087398343,0.1761307147257769,0.12153015640570086
122,0.30000000000000004,500.0,0.16912350597609563,0.19130860615189163,0.21599793448265814,0.30355802739034465,0.1199018234116036
123,0.30000000000000004,1000.0,0.1661354581673307,0.2016613064563977,0.1545036674928355,0.25212753610471095,0.1175816655353561
124,0.30000000000000004,500.0,0.18160690571049137,0.20688275992412852,0.30260514517171044,0.4039753971961342,0.12483528564059077
125,0.30000000000000004,1000.0,0.17184594953519255,0.20703370608778013,0.21388500620626266,0.3179706159509764,0.1263591699072284
126,0.30000000000000004,500.0,0.17250996015936254,0.1397769900315956,0.04437263623646287,0.10009299333006128,0.1182818952603727
127,0.30000000000000004,1000.0,0.16792828685258965,0.1622878271136259,0.09055202893095193,0.16035419890964442,0.11782580716430013
128,0.30000000000000004,500.0,0.17675962815405047,0.21347370129681909,0.21527134763011013,0.32814178399101945,0.13123522244580088
129,0.30000000000000004,1000.0,0.17297476759628155,0.21108915309694087,0.22617986109167387,0.33204865756583873,0.12350314813519503
130,0.30000000000000004,500.0,0.17609561752988048,0.22643597492596668,0.2875393210868414,0.40397088662541075,0.12481203692249476
131,0.30000000000000004,1000.0,0.17211155378486057,0.20948210301043618,0.1889097255820834,0.2978076189018655,0.12947221137293186
132,0.30000000000000004,500.0,0.17675962815405047,0.2074357745135918,0.20877205108271152,0.3133164043291053,0.12217243483944973
133,0.30000000000000004,1000.0,0.17164674634794155,0.21903174966502487,0.25974566032864344,0.37056427165345907,0.12545933017895639
134,0.30000000000000004,500.0,0.1792164674634794,0.27220993267480154,0.43671182891392973,0.5817687791860817,0.12189162482683058
