,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
1,0.6,1000,0.25333333333333335,0.13333333333333333,0.26666666666666666,0.1866666666666667,0.053333333333333344
0,0.6,500,0.28,0.16,0.32,0.24,0.07999999999999996
1,0.6,1000,0.29,0.19333333333333333,0.38666666666666666,0.2533333333333333,0.05999999999999994
0,0.6,500,0.2866666666666667,0.2,0.4,0.3466666666666667,0.1466666666666666
1,0.6,1000,0.25333333333333335,0.1333333333333333,0.2666666666666667,0.22666666666666668,0.09333333333333338
0,0.6,500,0.32666666666666666,0.053333333333333344,0.10666666666666669,0.026666666666666616,0.08000000000000007
1,0.6,1000,0.30666666666666664,0.09333333333333335,0.1866666666666667,0.06666666666666665,0.026666666666666616
0,0.6,500,0.29,0.23333333333333336,0.4666666666666666,0.3333333333333333,0.09999999999999998
1,0.6,1000,0.30666666666666664,0.22666666666666668,0.45333333333333337,0.32,0.09333333333333338
0,0.6,500,0.30666666666666664,0.09333333333333332,0.18666666666666665,0.12,0.026666666666666616
1,0.6,1000,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.15999999999999998,0.026666666666666727
0,0.6,500,0.30333333333333334,0.2066666666666667,0.4133333333333333,0.2933333333333333,0.08666666666666667
1,0.6,1000,0.31,0.19333333333333336,0.3866666666666667,0.2666666666666667,0.07333333333333336
0,0.6,500,0.35,0.26,0.52,0.3866666666666667,0.1266666666666667
1,0.6,1000,0.31666666666666665,0.15333333333333335,0.30666666666666675,0.22666666666666674,0.07333333333333336
0,0.7,500,0.3,0.16,0.31999999999999995,0.15999999999999998,0.0
1,0.7,1000,0.29,0.16666666666666669,0.33333333333333326,0.17333333333333328,0.00666666666666671
0,0.7,500,0.2966666666666667,0.11333333333333331,0.22666666666666668,0.17333333333333334,0.05999999999999994
1,0.7,1000,0.29,0.13999999999999999,0.2800000000000001,0.2,0.05999999999999994
0,0.7,500,0.32,0.2,0.4,0.22666666666666668,0.026666666666666727
1,0.7,1000,0.30333333333333334,0.23333333333333334,0.4666666666666667,0.24,0.006666666666666599
0,0.7,500,0.2966666666666667,0.05999999999999997,0.12,0.0,0.05999999999999994
1,0.7,1000,0.3,0.12,0.24000000000000005,0.14666666666666667,0.026666666666666727
0,0.7,500,0.31,0.04666666666666669,0.09333333333333338,0.03999999999999998,0.00666666666666671
1,0.7,1000,0.30666666666666664,0.06666666666666668,0.13333333333333325,0.07999999999999996,0.013333333333333308
0,0.7,500,0.30333333333333334,0.15333333333333332,0.30666666666666675,0.16000000000000003,0.006666666666666599
1,0.7,1000,0.30333333333333334,0.12666666666666665,0.25333333333333335,0.14666666666666667,0.020000000000000018
0,0.7,500,0.2966666666666667,0.006666666666666654,0.013333333333333308,0.08000000000000002,0.07333333333333336
1,0.7,1000,0.31666666666666665,0.060000000000000026,0.12000000000000005,0.013333333333333308,0.046666666666666634
0,0.7,500,0.29333333333333333,0.013333333333333308,0.026666666666666727,0.013333333333333364,0.0
1,0.7,1000,0.3,0.07999999999999999,0.15999999999999992,0.1333333333333333,0.053333333333333344
0,0.7,500,0.24666666666666667,0.03999999999999998,0.08000000000000007,0.026666666666666727,0.013333333333333308
1,0.7,1000,0.27,0.06,0.12,0.06666666666666665,0.006666666666666599
0,0.7,500,0.2633333333333333,0.18,0.3600000000000001,0.25333333333333335,0.07333333333333336
1,0.7,1000,0.26666666666666666,0.1333333333333333,0.2666666666666666,0.16000000000000003,0.026666666666666727
